id,title,credits,raw_required,category,group,courseType
SE-111,微分積分学(1a)※MS,1,○,理工学基礎科目,数学系,required
SE-112,微分積分学(1b)※MS,1,○,理工学基礎科目,数学系,required
SE-113,線形代数学(1a)※MS,1,○,理工学基礎科目,数学系,required
SE-114,線形代数学(1b)※MS,1,○,理工学基礎科目,数学系,required
SE-211,微分積分学(2a)※MS,1,△1,理工学基礎科目,数学系,elective-required
SE-212,微分積分学(2b)※MS,1,△1,理工学基礎科目,数学系,elective-required
SE-213,線形代数学(2a)※MS,1,△1,理工学基礎科目,数学系,elective-required
SE-214,線形代数学(2b)※MS,1,△1,理工学基礎科目,数学系,elective-required
SE-311,微分方程式論,2,△1,理工学基礎科目,数学系,elective-required
SE-312,ベクトル解析学,2,△1,理工学基礎科目,数学系,elective-required
SE-313,フーリエ解析学,2,△1,理工学基礎科目,数学系,elective-required
SE-314,数理統計学(a)※MS,1,△1,理工学基礎科目,数学系,elective-required
SE-315,数理統計学(b)※MS,1,△1,理工学基礎科目,数学系,elective-required
SE-316,代数学,2,,理工学基礎科目,数学系,elective
SE-121,物理学及び演習(1),4,△2,理工学基礎科目,自然科学系,elective-required
SE-122,物理学及び演習(2),4,△2,理工学基礎科目,自然科学系,elective-required
SE-123,物理学実験(a),2,○,理工学基礎科目,自然科学系,required
SE-124,物理学実験(b),2,○,理工学基礎科目,自然科学系,required
SE-125,化学(1),2,,理工学基礎科目,自然科学系,elective
SE-126,化学実験,4,,理工学基礎科目,自然科学系,elective
SE-127,生物学(1),2,,理工学基礎科目,自然科学系,elective
SE-128,生物学実験(a),2,,理工学基礎科目,自然科学系,elective
SE-129,生物学実験(b),2,,理工学基礎科目,自然科学系,elective
SE-12A,地学(1),2,,理工学基礎科目,自然科学系,elective
SE-12B,地学実験(a),2,,理工学基礎科目,自然科学系,elective
SE-12C,地学実験(b),2,,理工学基礎科目,自然科学系,elective
SE-221,物理学(3),2,△2,理工学基礎科目,自然科学系,elective-required
SE-222,物理学(4),2,△2,理工学基礎科目,自然科学系,elective-required
SE-223,電磁気学基礎,2,○,理工学基礎科目,自然科学系,required
SE-224,化学(2),2,,理工学基礎科目,自然科学系,elective
SE-225,生物学(2),2,,理工学基礎科目,自然科学系,elective
SE-226,地学(2),2,,理工学基礎科目,自然科学系,elective
SE-321,上級力学,2,△2,理工学基礎科目,自然科学系,elective-required
SE-131,情報リテラシー演習(a),1,○,理工学基礎科目,情報系,required
SE-132,情報リテラシー演習(b),1,○,理工学基礎科目,情報系,required
SE-133,情報処理入門,2,,理工学基礎科目,情報系,elective
SE-231,コンピュータ概論(a),1,,理工学基礎科目,情報系,elective
SE-232,コンピュータ概論(b),1,,理工学基礎科目,情報系,elective
SE-233,プログラミング基礎(a),1,○,理工学基礎科目,情報系,required
SE-234,プログラミング基礎(b),1,○,理工学基礎科目,情報系,required
