departmentId,departmentName,facultyId,facultyName,id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
kikai,機械工学科,rikou,理工学部,LA-111,哲学(1),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,哲学(1)              Ｇ        2    2                                        LA-111   25     30   10   15   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-112,哲学(2),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,哲学(2)              Ｇ        2         2                                   LA-112   5      50   15   20   10,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-113,倫理学(1),2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,倫理学(1)                      2   2                                         LA-113   30     50   10   0    10,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-114,倫理学(2),2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,倫理学(2)                      2         2                                   LA-114   20     50   10   10   10,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-115,倫理学(a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,倫理学(a)                      1         1                                   LA-115   20     20   10   20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-116,倫理学(b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,倫理学(b)                      1          1                                  LA-116   20     20   10   20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-117,文化人類学,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,文化人類学                       2         2                                   LA-117   25     20   15   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-118,視覚芸術史(1),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,視覚芸術史(1)           Ｇ        2   2                                         LA-118   30     30   0    0    40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-119,視覚芸術史(2),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,視覚芸術史(2)           Ｇ        2         2                                   LA-119   30     30   0    0    40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-211,デザイン概論(1),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,デザイン概論(1)          Ｇ        2               2                             LA-211   30     20   30   0    20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-212,デザイン概論(2),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,系   デザイン概論(2)          Ｇ        2                    2                        LA-212   30     10   30   0    30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-213,日本文学,2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本文学               Ｇ        2               2                             LA-213   10     30   20   0    40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-11A,日本史(1),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本史(1)             Ｇ        2   2                                         LA-11A   10     35   10   10   35,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-11B,日本史(2),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本史(2)             Ｇ        2         2                                   LA-11B   10     35   10   10   35,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-11C,西洋史(1),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,西洋史(1)             Ｇ        2   2                                         LA-11C   20     30   0    20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-11D,西洋史(2),2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,西洋史(2)             Ｇ        2         2                                   LA-11D   20     30   0    20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-11E,民俗学(a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,民俗学(a)             Ｇ        1         1                                   LA-11E   25     15   15   20   25,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-11F,民俗学(b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,民俗学(b)             Ｇ        1          1                                  LA-11F   25     15   15   20   25,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-11G,宗教学,2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,宗教学                Ｇ        2   2                                         LA-11G   30     20   0    0    50,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-121,社会学(1a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,社会学(1a)                     1   1                                         LA-121   10     15   15   0    60,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-122,社会学(1b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,社会学(1b)                     1    1                                        LA-122   10     15   15   0    60,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-123,社会学(2a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,社会学(2a)                     1         1                                   LA-123   10     15   15   0    60,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-124,社会学(2b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,教       社会学(2b)                     1          1                                  LA-124   10     5    15   20   50,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-125,社会学入門(a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,養       社会学入門(a)                    1   1                                         LA-125   10     20   10   20   40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-126,社会学入門(b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,科       社会学入門(b)                    1    1                                        LA-126   10     20   10   20   40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-127,経済学(1a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(1a)                     1    1                                        LA-127   10     45   0    0    45,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-128,経済学(1b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(1b)                     1    1                                        LA-128   10     45   0    0    45,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-129,経済学(2a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(2a)                     1         1                                   LA-129   10     45   0    0    45,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12A,経済学(2b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,経済学(2b)                     1          1                                  LA-12A   10     45   0    0    45,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-321,日本経済論(a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本経済論(a)           Ｇ        1                         1                   LA-321   0      15   15   15   55,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-322,日本経済論(b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本経済論(b)           Ｇ        1                         1                   LA-322   0      15   15   15   55,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12B,政治学(1a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,政治学(1a)                     1   1                                         LA-12B   15     30   15   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12C,政治学(1b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,会   政治学(1b)                     1    1                                        LA-12C   15     30   15   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12D,政治学(2a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,科   政治学(2a)                     1         1                                   LA-12D   15     30   15   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12E,政治学(2b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,学   政治学(2b)                     1          1                                  LA-12E   15     30   15   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-221,日本の政治(a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本の政治(a)           Ｇ        1               1                             LA-221   10     35   10   10   35,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-222,日本の政治(b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本の政治(b)           Ｇ        1               1                             LA-222   10     35   10   10   35,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12F,国際関係論(1a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(1a)          Ｇ        1   1                                         LA-12F   23     25   15   15   22,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12G,国際関係論(1b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(1b)          Ｇ        1    1                                        LA-12G   23     25   15   15   22,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12H,国際関係論(2a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(2a)          Ｇ        1         1                                   LA-12H   23     25   15   15   22,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12I,国際関係論(2b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,国際関係論(2b)          Ｇ        1          1                                  LA-12I   23     25   15   15   22,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12J,日本国憲法,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本国憲法                       2   2     (2)                                 LA-12J   25     25   25   0    25,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12K,法学,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,法学                          2    2                                        LA-12K   25     25   25   0    25,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12L,民法,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,民法                          2         2                                   LA-12L   25     25   25   0    25,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12M,西洋経済史,2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,西洋経済史              Ｇ        2   (2)    2                                  LA-12M   20     30   0    20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12N,人文地理学(a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,人文地理学(a)                    1   1                                         LA-12N   30     10   20   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12O,人文地理学(b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,人文地理学(b)                    1    1                                        LA-12O   30     10   20   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
