sourceFile,role,status
0b9b37db00b8706444e4f7a750410138.pdf,common_curriculum_rikou_kenchiku_joho,used
2026世田谷キャンパス前期.pdf,spring_schedule,used
2026建築学部.pdf,faculty_or_department_curriculum,used
2026横浜キャンパス前期.pdf,spring_schedule,used
2026理工教職.pdf,teacher_license_reference_not_graduation_curriculum,used
311a4a97843fb88816a58e1fc4e50d98.pdf,faculty_or_department_curriculum,used
36f4e4062d15fd6e4875f8e78bec3bd6.pdf,faculty_or_department_curriculum,used
3db8dbc9a70710d1a1cf633fefc085e8.pdf,faculty_or_department_curriculum,used
4123eec2627f153000328b01720cf021.pdf,faculty_or_department_curriculum,used
523786516152752ab91293dd787cc0cc.pdf,faculty_or_department_curriculum,used
9a97b84ce1f096e0db084e81dac0bf1f.pdf,faculty_or_department_curriculum,used
9ac54018ba04a3dadd1774fcaec7facc.pdf,faculty_or_department_curriculum,used
afd7c5631753ad09f074370a0eaa9524.pdf,common_curriculum_rikou_kenchiku_joho,used
b2424772163806e832630365b78767c2.pdf,faculty_or_department_curriculum,used
e69aa2716a5d0db78c4241f183a36f63.pdf,faculty_or_department_curriculum,used
fcfa81125b1516a4c6c647f0753fc555.pdf,faculty_or_department_curriculum,used
