departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage,sourceFile,normalizedTitle,matchedCourseId,matchedCourseTitle,matchedCourseType,matchedCategory,matchedGroup,matchStatus,matchConfidence
kikai,機械,世田谷,月,1,前期前,2,,線形代数学(2a),曽布川 拓也,saa111109,13M,対象[25-21],,,1,2026世田谷キャンパス前期.pdf,線形代数学(2a),SE-213,線形代数学(2a),required,理工学基礎科目,数学系,exact,1.0
kikai,機械,世田谷,月,1,前期後,1,,機械工作概論,亀山 雄高,sab111111,61A,対象[26-17],"対開講(月1,木1)",,1,2026世田谷キャンパス前期.pdf,機械工作概論,,,,,,unmatched,0
kikai,機械,世田谷,月,1,前期後,2,,線形代数学(2b),曽布川 拓也,sab111110,13M,対象[25-21],,,1,2026世田谷キャンパス前期.pdf,線形代数学(2b),SE-214,線形代数学(2b),required,理工学基礎科目,数学系,exact,1.0
kikai,機械,世田谷,月,1,前期後,2,,再・機械要素設計及び演 習,佐藤 秀明 小玉 脩平 設計製図室 (10号館),saz112145,"13P,機械系",対象[24-17],"対開講(火1前期前,火2前期前, 月1前期後,月2前期後) ○",○,1,2026世田谷キャンパス前期.pdf,機械要素設計及び演習,MC-271,機械要素設計及び演習,required,専門科目,加工学,exact,1.0
kikai,機械,世田谷,月,2,前期前,2,,微分積分学(2a),前田 多恵,saa111202,13J,対象[25-21],,,1,2026世田谷キャンパス前期.pdf,微分積分学(2a),SE-211,微分積分学(2a),required,理工学基礎科目,数学系,exact,1.0
kikai,機械,世田谷,月,2,前期前,3,,内燃機関,三原 雄司,saa111204,1BN,対象[24-17],"対開講(月2,木2)",,1,2026世田谷キャンパス前期.pdf,内燃機関,,,,,,unmatched,0
kikai,機械,世田谷,月,2,前期後,2,,微分積分学(2b),前田 多恵,sab111203,13J,対象[25-21],,,1,2026世田谷キャンパス前期.pdf,微分積分学(2b),SE-212,微分積分学(2b),required,理工学基礎科目,数学系,exact,1.0
kikai,機械,世田谷,月,2,前期後,2,,再・機械要素設計及び演 習,佐藤 秀明 小玉 脩平 設計製図室 (10号館),saz112145,"13P,機械系",対象[24-17],"対開講(火1前期前,火2前期前, 月1前期後,月2前期後)",,1,2026世田谷キャンパス前期.pdf,機械要素設計及び演習,MC-271,機械要素設計及び演習,required,専門科目,加工学,exact,1.0
kikai,機械,世田谷,月,3,前期前,1,AB,機械設計製図(a),伊東 明美 製図室(10号,saa111301,機械系設計,対象[26-21],"対開講(月3,月4) 館)",,1,2026世田谷キャンパス前期.pdf,機械設計製図(a),MC-111,機械設計製図(a),required,専門科目,学科共通,exact,1.0
kikai,機械,世田谷,月,3,前期前,1,CD,機械工作実習(a),西部 光一 土井 俊弥 くり支援セ 矢作 修一,saa111303,"11D,ものつ",対象[26-21],"対開講(月3,月4) ンター",,1,2026世田谷キャンパス前期.pdf,機械工作実習(a),MC-112,機械工作実習(a),required,専門科目,学科共通,exact,1.0
kikai,機械,世田谷,月,3,前期前,2,CD,微分方程式論,岸本 喜直,saa111309,61A,対象[25-17],"対開講(月3,木3)",,1,2026世田谷キャンパス前期.pdf,微分方程式論,SE-311,微分方程式論,elective-required,理工学基礎科目,数学系,exact,1.0
kikai,機械,世田谷,月,3,前期前,2,CD,電気・計測回路,冨士原 民雄,saa111310,13C,対象[20-17],"対開講(月3,金3)",,1,2026世田谷キャンパス前期.pdf,電気・計測回路,,,,,,unmatched,0
kikai,機械,世田谷,月,3,前期後,1,AB,機械設計製図(b),伊東 明美 及川 昌訓 製図室(10号,sab111302,機械系設計,対象[26-21],"対開講(月3,月4) 館)",,1,2026世田谷キャンパス前期.pdf,機械設計製図(b),MC-211,機械設計製図(b),required,専門科目,学科共通,exact,1.0
kikai,機械,世田谷,月,3,前期後,1,CD,機械工作実習(b),西部 光一 土井 俊弥 くり支援セ 矢作 修一,sab111304,"11D,ものつ",対象[26-21],"対開講(月3,月4) ンター",,1,2026世田谷キャンパス前期.pdf,機械工作実習(b),MC-212,機械工作実習(b),required,専門科目,学科共通,exact,1.0
kikai,機械,世田谷,月,4,前期前,1,AB,機械設計製図(a),伊東 明美 製図室(10号,saa111301,機械系設計,対象[26-21],"対開講(月3,月4) 館)",,1,2026世田谷キャンパス前期.pdf,機械設計製図(a),MC-111,機械設計製図(a),required,専門科目,学科共通,exact,1.0
