id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
LA-113,倫理学(1),2,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,教 人 倫理学(1) 2 2 LA-113 30 50 10 0 10 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-114,倫理学(2),2,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,倫理学(2) 2 2 LA-114 20 50 10 10 10 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-115,倫理学(a),1,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,目 系 倫理学(a) 1 1 LA-115 20 20 10 20 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-116,倫理学(b),1,,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,倫理学(b) 1 1 LA-116 20 20 10 20 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-118,視覚芸術史(1),2,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,視覚芸術史(1) Ｇ 2 2 LA-118 30 30 0 0 40 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-119,視覚芸術史(2),2,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,視覚芸術史(2) Ｇ 2 2 LA-119 30 30 0 0 40 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-211,デザイン概論(1),2,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,デザイン概論(1) Ｇ 2 2 LA-211 30 20 30 0 20 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-212,デザイン概論(2),2,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,デザイン概論(2) Ｇ 2 2 LA-212 30 10 30 0 30 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-11A,日本史(1),2,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,日本史(1) Ｇ 2 2 LA-11A 10 35 10 10 35 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-11B,日本史(2),2,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,日本史(2) Ｇ 2 2 LA-11B 10 35 10 10 35 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
LA-11C,西洋史(1),2,Ｇ,基礎科目,教養科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,西洋史(1) Ｇ 2 2 LA-11C 20 30 0 20 30 SC開講,pdftotext_line,,department=デザイン・データ科学科; source_page=80
