id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-22D,Critical Reading(2a),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目   Critical Reading(2a)                          1                   1        (1)                             FL-22D   20    30    10   10   30   ＳＣ開講,pdf_curriculum_table,,source_key=environment
FL-22E,Critical Reading(2b),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,ス   Critical Reading(2b)                          1                   1        (1)                             FL-22E   20    30    10   10   30   ＳＣ開講,pdf_curriculum_table,,source_key=environment
FL-313,Critical Reading(3a),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,キ   Critical Reading(3a)                          1                   1        (1)                             FL-313   20    30    10   10   30,pdf_curriculum_table,,source_key=environment
FL-314,Critical Reading(3b),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,）   Critical Reading(3b)                          1                   1        (1)                             FL-314   20    30    10   10   30,pdf_curriculum_table,,source_key=environment
FL-21H,Critical Listening(2a),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(2a)                        1                   1        (1)                             FL-21H   20    30    10   10   30   ＳＣ開講,pdf_curriculum_table,,source_key=environment
FL-21I,Critical Listening(2b),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(2b)                        1                   1        (1)                             FL-21I   20    30    10   10   30   ＳＣ開講,pdf_curriculum_table,,source_key=environment
FL-315,Critical Listening(3a),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(3a)                        1                   1        (1)                             FL-315   20    30    10   10   30   ＳＣ開講,pdf_curriculum_table,,source_key=environment
FL-316,Critical Listening(3b),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Critical Listening(3b)                        1                   1        (1)                             FL-316   20    30    10   10   30   ＳＣ開講,pdf_curriculum_table,,source_key=environment
FL-21L,Communication Strategies(2a),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Communication Strategies(2a)                  1                   1        (1)                             FL-21L   20    30    10   10   30,pdf_curriculum_table,,source_key=environment
FL-21M,Communication Strategies(2b),1,,共通分野,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,基            Communication Strategies(2b)                  1                   1        (1)                             FL-21M   20    30    10   10   30,pdf_curriculum_table,,source_key=environment
