id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
LA-14C,環境問題と社会,2,,共通分野,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,環境問題と社会                                   2      2                                   LA-14C   15   15   15   15   40,pdf_curriculum_table,,source_key=media_informatics
LA-14B,情報編集入門,2,,共通分野,教養科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報編集入門                                    2            2                             LA-14B   20   20   20   20   20,pdf_curriculum_table,,source_key=media_informatics
SM-111,情報と社会,2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報と社会                 ○          2    2                                SM-111   20    40   0    20   20,pdf_curriculum_table,,source_key=media_informatics
SM-112,情報リテラシー演習,2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報リテラシー演習             ○          2    2                                SM-112   30    0    20   25   25   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-121,統計学基礎,2,○ ※MS,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,統計学基礎                 ○    ※MS   2    2                                SM-121   30    30   10   0    30,pdf_curriculum_table,,source_key=media_informatics
SM-132,現代国内情勢,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,現代国内情勢                           2    2                                SM-132   20    20   30   10   20,pdf_curriculum_table,,source_key=media_informatics
SM-131,現代社会とメディア,2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,現代社会とメディア             ○          2    2                                SM-131   24    26   24   8    18,pdf_curriculum_table,,source_key=media_informatics
SM-122,社会調査,2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会調査                  ○          2         2                           SM-122   40    0    60   0    0    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-113,社会学概論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会学概論                            2         2                           SM-113   0     40   0    40   20,pdf_curriculum_table,,source_key=media_informatics
SM-134,社会心理学概論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会心理学概論                          2         2                           SM-134   10    30   10   20   30,pdf_curriculum_table,,source_key=media_informatics
SM-142,デザインシンキング,2,○,専門分野,社会メディア学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,デザインシンキング             ○          2         2                           SM-142   20    20   20   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-141,認知科学,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,専         認知科学                             2         2                           SM-141   25    20   25   15   15,pdf_curriculum_table,,source_key=media_informatics
SM-252,情報と法,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,門         情報と法                             2           2                         SM-252   15    35   10   20   20,pdf_curriculum_table,,source_key=media_informatics
SM-251,情報セキュリティ,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,礎         情報セキュリティ                         2           2                         SM-251   10    40   10   20   20,pdf_curriculum_table,,source_key=media_informatics
SM-261,情報と職業,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科         情報と職業                            2           2                         SM-261   30    20   20   0    30,pdf_curriculum_table,,source_key=media_informatics
SM-235,世界のメディア,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目         世界のメディア                          2                2                    SM-235   0     60   10   0    30,pdf_curriculum_table,,source_key=media_informatics
SM-211,サイエンス・スタディーズ,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,サイエンス・スタディーズ                     2                2                    SM-211   0     60   0    20   20,pdf_curriculum_table,,source_key=media_informatics
SM-254,データベース,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,データベース                           2                2                    SM-254   30    10   30   0    30,pdf_curriculum_table,,source_key=media_informatics
SM-262,キャリアデザイン(a),1,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,キャリアデザイン(a)                      1                1                    SM-262   50    20   0    30   0,pdf_curriculum_table,,source_key=media_informatics
SM-263,キャリアデザイン(b),1,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,キャリアデザイン(b)                      1                1                    SM-263   50    20   0    30   0,pdf_curriculum_table,,source_key=media_informatics
SM-352,情報の倫理,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報の倫理                            2                  2                  SM-352   20    20   0    40   20,pdf_curriculum_table,,source_key=media_informatics
SM-333,情報政策論,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報政策論                            2                       2             SM-333   20    20   10   10   40,pdf_curriculum_table,,source_key=media_informatics
SM-11A,SD PBL(1) 〇,1,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,SD PBL(1)             〇          1    1                                SM-11A   30    10   30   10   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-21C,SD PBL(2) 〇,1,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,SD PBL(2)             〇          1                1                    SM-21C   10    10   20   10   50   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-31C,SD PBL(3) 〇,1,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,SD PBL(3)             〇          1                       2             SM-31C   9     24   24   24   19   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-241,プロジェクト学習,2,,専門分野,社会メディア学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,プロジェクト学習                         2           2                         SM-241   20    20   20   20   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-123,応用統計,2,△1 ※MS,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,応用統計                  △1   ※MS   2         2                           SM-123   15    15   30   0    40,pdf_curriculum_table,,source_key=media_informatics
SM-221,社会メディア実験・測定演習,2,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会メディア実験・測定演習         △1         2           2                         SM-221   60    5    25   0    10   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-222,社会文化フィールドワーク,1,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会文化フィールドワーク          △1         1                1                    SM-222   10    10   30   30   20   （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
SM-223,社会調査設計,2,△1,専門分野,社会メディア学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,社会調査設計                △1         2                2                    SM-223   20    20   40   0    20,pdf_curriculum_table,,source_key=media_informatics
