departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage,sourceFile,normalizedTitle,matchedCourseId,matchedCourseTitle,matchedCourseType,matchedCategory,matchedGroup,matchStatus,matchConfidence
ningen,人間,世田谷,月,1,前期,2,AB,食農文化と子育て(1),野村 明洋,saz561101,13Q,対象[25-18] ○,,○,42,2026世田谷キャンパス前期.pdf,食農文化と子育て(1),HS-253,食農文化と子育て(1)演習,required,専門分野,人間科学科科目,fuzzy,0.917
ningen,人間,世田谷,月,1,前期,3,AB,学習科学概論,内海 太祐,saz561102,11E,対象[24-18],,,42,2026世田谷キャンパス前期.pdf,学習科学概論,,,,,,unmatched,0
ningen,人間,世田谷,月,2,前期,1,AB,人間と健康,田中 淳司,saz561202,11E,対象[26-18],,,42,2026世田谷キャンパス前期.pdf,人間と健康,,,,,,unmatched,0
ningen,人間,世田谷,月,2,前期,2,CD,食農文化と子育て(1),野村 明洋,saz561201,13Q,対象[25-18],,,42,2026世田谷キャンパス前期.pdf,食農文化と子育て(1),HS-253,食農文化と子育て(1)演習,required,専門分野,人間科学科科目,fuzzy,0.917
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),横山 草介,saz564209,73L,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),岩田 遵子,saz563201,73F,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),宮川 哲弥,saz561404,73D,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),紺野 道子,saz564206,73G,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),松橋 圭子,saz564208,73K,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),泉 秀生,saz564202,73B,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),大塚 習平,saz564201,造形室,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,2,前期,3,CD,特別研究(1),髙橋 うらら,saz564207,73H,対象[24-23],,,42,2026世田谷キャンパス前期.pdf,特別研究(1),HS-312,特別研究(1)演習,required,専門分野,人間科学科科目,fuzzy,0.875
ningen,人間,世田谷,月,3,前期,1,CD,保育原理,宮川 哲弥,saz561302,13N,対象[26-18],,,42,2026世田谷キャンパス前期.pdf,保育原理,,,,,,unmatched,0
