id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
LA-111,哲学(1),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,哲学(1) 講義 2 － － 2 LA-111 25 30 10 15 20,pdftotext_line,,department=人間科学科; source_page=58
LA-112,哲学(2),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,哲学(2) 講義 2 － － 2 LA-112 5 50 15 20 10,pdftotext_line,,department=人間科学科; source_page=58
LA-113,倫理学(1),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,倫理学(1) 講義 2 － － 2 LA-113 30 50 10 0 10,pdftotext_line,,department=人間科学科; source_page=58
LA-114,倫理学(2),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,倫理学(2) 講義 2 － － 2 LA-114 20 50 10 10 10,pdftotext_line,,department=人間科学科; source_page=58
LA-115,倫理学(a),1,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,倫理学(a) 講義 1 － － 1 LA-115 20 20 10 20 30,pdftotext_line,,department=人間科学科; source_page=58
LA-116,倫理学(b),1,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,倫理学(b) 講義 1 － － 1 LA-116 20 20 10 20 30,pdftotext_line,,department=人間科学科; source_page=58
LA-117,化人類学,2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,文化人類学 講義 2 － － 2 LA-117 25 20 15 20 20,pdftotext_line,,department=人間科学科; source_page=58
LA-118,視覚芸術史(1),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,視覚芸術史(1) 講義 2 － － 2 LA-118 30 30 0 0 40,pdftotext_line,,department=人間科学科; source_page=58
LA-119,視覚芸術史(2),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,視覚芸術史(2) 講義 2 － － 2 LA-119 30 30 0 0 40,pdftotext_line,,department=人間科学科; source_page=58
LA-211,デザイン概論(1),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,デザイン概論(1) 講義 2 － － 2 LA-211 30 20 30 0 20,pdftotext_line,,department=人間科学科; source_page=58
LA-212,デザイン概論(2),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,デザイン概論(2) 講義 2 － － 2 LA-212 30 10 30 0 30,pdftotext_line,,department=人間科学科; source_page=58
LA-213,日本文学,2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,日本文学 講義 2 － － 2 LA-213 10 30 20 0 40,pdftotext_line,,department=人間科学科; source_page=58
LA-11A,日本史(1),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,日本史(1) 講義 2 － － 2 LA-11A 10 35 10 10 35,pdftotext_line,,department=人間科学科; source_page=58
LA-11B,日本史(2),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,日本史(2) 講義 2 － － 2 LA-11B 10 35 10 10 35,pdftotext_line,,department=人間科学科; source_page=58
LA-11C,西洋史(1),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,西洋史(1) 講義 2 － － 2 LA-11C 20 30 0 20 30,pdftotext_line,,department=人間科学科; source_page=58
LA-11D,西洋史(2),2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,西洋史(2) 講義 2 － － 2 LA-11D 20 30 0 20 30,pdftotext_line,,department=人間科学科; source_page=58
LA-11E,民俗学(a),1,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,民俗学(a) 講義 1 － － 1 LA-11E 25 15 15 20 25,pdftotext_line,,department=人間科学科; source_page=58
LA-11F,民俗学(b),1,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,民俗学(b) 講義 1 － － 1 LA-11F 25 15 15 20 25,pdftotext_line,,department=人間科学科; source_page=58
LA-11G,宗教学,2,,共通分野,教養科目,elective,curriculum,9ac54018ba04a3dadd1774fcaec7facc.pdf,宗教学 講義 2 － － 2 LA-11G 30 20 0 0 50,pdftotext_line,,department=人間科学科; source_page=58
