departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
denki,電通,月,1,前期,1,I-A,Communication,篠原 俊吾,saz131101,12D,対象[26-26],,,7
denki,電通,月,1,前期,1,I-B,Communication,中村 優子,saz131102,11B,対象[26-26],,,7
denki,電通,月,1,前期,1,I-C,Communication,日高 正司,saz131103,11C,対象[26-26],,,7
denki,電通,月,1,前期,1,I-D,Communication,松原 理佐,saz131104,12J,対象[26-26],,,7
denki,電通,月,1,前期,1,I-E,Communication,酒井 美江,saz131105,12C,対象[26-26],,,7
denki,電通,月,1,前期,1,I-F,Communication,グルンデル 教子,saz131106,12F,対象[26-26],,,7
denki,電通,月,1,前期,1,I-G,Communication,三幣 友行,saz131107,11D,対象[26-26],,,7
denki,電通,月,1,前期,1,I-H,Communication,冨樫 須奈美,saz131108,12A,対象[26-26],,,7
denki,電通,月,1,前期,1,I-I,Communication,鷹取 勇希,saz131109,12G,対象[26-26],,,7
denki,電通,月,1,前期前,2,,通信工学,吉田 智暁,saa131121,12K,対象[25-18],"対開講(月1,水1)",○,7
denki,電通,月,2,前期前,1,ABC,微分積分学(1a),笹尾 哲,saa131202,13L,対象[26-21],,,7
denki,電通,月,2,前期前,1,DEF,線形代数学(1a),三宅 啓道,saa131201,13N,対象[26-21],,,7
denki,電通,月,2,前期前,2,,電子物理基礎,野平 博司,saa131210,21C,対象[25-18],"対開講(月2,金2)",,7
denki,電通,月,2,前期前,3,,パワーエレクトロニクス,鈴木 憲吏,saa131215,12H,対象[24-18],"対開講(月2,木2)",,7
denki,電通,月,2,前期後,1,ABC,微分積分学(1b),笹尾 哲,sab131203,13L,対象[26-21],,,7
denki,電通,月,2,前期後,1,DEF,線形代数学(1b),三宅 啓道,sab131204,13N,対象[26-21],,,7
denki,電通,月,2,前期後,2,,デジタル通信方式,吉田 智暁,sab131209,22A,対象[25-21],"対開講(月2,火1)",,7
denki,電通,月,2,前期後,2,,ディジタル通信方式,吉田 智暁,sab131209,22A,対象[20-18],"対開講(月2,火1)",,7
denki,電通,月,2,前期後,3,,システム解析,中島 達人,sab131211,1BL,対象[24-18],"対開講(月2,木2)",,7
denki,電通,月,3,前期前,1,ABC,物理学実験(a),長田 剛 砂畑 浩樹 田中 敏幸 手束 文子 平山 博之 深井 佳乃 松尾 洋介 三原 国子,saa131307,物理学実験 室(62H),対象[26-26],"対開講(月3,月4)",,7
denki,電通,月,3,前期前,2,ABC,微分方程式論,肥田野 久二男,saa131311,1BM,対象[25-18],"対開講(月3,木2)",,7
denki,電通,月,3,前期前,2,DEF,微分方程式論,古田 公司,saa131312,11A,対象[25-18],"対開講(月3,木2)",,7
denki,電通,月,3,前期前,3,,電気電子通信技術英語,杉浦 綾子,saa131315,12B,対象[24-19],"対開講(月3,月4)",,7
denki,電通,月,3,前期後,1,ABC,物理学実験(b),長田 剛 砂畑 浩樹 田中 敏幸 手束 文子 平山 博之 深井 佳乃 松尾 洋介 三原 国子,sab131308,物理学実験 室(62H),対象[26-26],"対開講(月3,月4)",,7
denki,電通,月,3,前期後,2,,ベクトル解析学,古田 公司,sab131313,11A,対象[25-18],"対開講(月3,木2)",,7
