departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage,sourceFile,normalizedTitle,matchedCourseId,matchedCourseTitle,matchedCourseType,matchedCategory,matchedGroup,matchStatus,matchConfidence,curriculumCourseId,curriculumCourseTitle,curriculumMatchStatus,curriculumMatchConfidence
denki,電通,世田谷,月,1,前期,1,I-A,Communication,篠原 俊吾,saz131101,12D,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-B,Communication,中村 優子,saz131102,11B,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-C,Communication,日高 正司,saz131103,11C,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-D,Communication,松原 理佐,saz131104,12J,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-E,Communication,酒井 美江,saz131105,12C,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-F,Communication,グルンデル 教子,saz131106,12F,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-G,Communication,三幣 友行,saz131107,11D,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-H,Communication,冨樫 須奈美,saz131108,12A,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期,1,I-I,Communication,鷹取 勇希,saz131109,12G,対象[26-26],,,7,2026世田谷キャンパス前期.pdf,Communication,SCH-SAZ131101,Communication,elective,時間割由来科目,2026前期/1年,curriculum-exact-title,1.0,SCH-SAZ131101,Communication,curriculum-exact-title,1.0
denki,電通,世田谷,月,1,前期前,2,I-I,通信工学,吉田 智暁,saa131121,12K,対象[25-18],"対開講(月1,水1) ○",○,7,2026世田谷キャンパス前期.pdf,通信工学,SCH-SAA131121,通信工学,required,時間割由来科目,2026前期/2年,curriculum-exact-title,1.0,SCH-SAA131121,通信工学,curriculum-exact-title,1.0
denki,電通,世田谷,月,2,前期前,1,ABC,微分積分学(1a),笹尾 哲,saa131202,13L,対象[26-21],,,7,2026世田谷キャンパス前期.pdf,微分積分学(1a),IT-111,微分積分学(1a),required,専門分野,情報工学基盤科目,curriculum-exact-title,1.0,IT-111,微分積分学(1a),curriculum-exact-title,1.0
denki,電通,世田谷,月,2,前期前,1,DEF,線形代数学(1a),三宅 啓道,saa131201,13N,対象[26-21],,,7,2026世田谷キャンパス前期.pdf,線形代数学(1a),IT-113,線形代数学(1a),required,専門分野,情報工学基盤科目,curriculum-exact-title,1.0,IT-113,線形代数学(1a),curriculum-exact-title,1.0
denki,電通,世田谷,月,2,前期前,2,DEF,電子物理基礎,野平 博司,saa131210,21C,対象[25-18],"対開講(月2,金2)",,7,2026世田谷キャンパス前期.pdf,電子物理基礎,SCH-SAA131210,電子物理基礎,elective,時間割由来科目,2026前期/2年,curriculum-exact-title,1.0,SCH-SAA131210,電子物理基礎,curriculum-exact-title,1.0
denki,電通,世田谷,月,2,前期前,3,DEF,パワーエレクトロニクス,鈴木 憲吏,saa131215,12H,対象[24-18],"対開講(月2,木2)",,7,2026世田谷キャンパス前期.pdf,パワーエレクトロニクス,SCH-SAA131215,パワーエレクトロニクス,elective,時間割由来科目,2026前期/3年,curriculum-exact-title,1.0,SCH-SAA131215,パワーエレクトロニクス,curriculum-exact-title,1.0
denki,電通,世田谷,月,2,前期後,1,ABC,微分積分学(1b),笹尾 哲,sab131203,13L,対象[26-21],,,7,2026世田谷キャンパス前期.pdf,微分積分学(1b),IT-112,微分積分学(1b),required,専門分野,情報工学基盤科目,curriculum-exact-title,1.0,IT-112,微分積分学(1b),curriculum-exact-title,1.0
