id,title,credits,raw_required,category,group,courseType
LA-111,哲学(1),2,G,教養科目,共通分野,elective
LA-112,哲学(2),2,G,教養科目,共通分野,elective
LA-113,倫理学(1),2,,教養科目,共通分野,elective
LA-114,倫理学(2),2,,教養科目,共通分野,elective
LA-115,倫理学(a),1,,教養科目,共通分野,elective
LA-116,倫理学(b),1,,教養科目,共通分野,elective
LA-117,文化人類学,2,,教養科目,共通分野,elective
LA-118,視覚芸術史(1),2,G,教養科目,共通分野,elective
LA-119,視覚芸術史(2),2,G,教養科目,共通分野,elective
LA-211,デザイン概論(1),2,G,教養科目,共通分野,elective
LA-212,デザイン概論(2),2,G,教養科目,共通分野,elective
LA-213,日本文学,2,G,教養科目,共通分野,elective
LA-11A,日本史(1),2,G,教養科目,共通分野,elective
LA-11B,日本史(2),2,G,教養科目,共通分野,elective
LA-11C,西洋史(1),2,G,教養科目,共通分野,elective
LA-11D,西洋史(2),2,G,教養科目,共通分野,elective
LA-11E,民俗学(a),1,G,教養科目,共通分野,elective
LA-11F,民俗学(b),1,G,教養科目,共通分野,elective
TCU-JPN-CONST,日本国憲法,2,○,教養科目,共通分野,required
TCU-PE-1A,基礎体育(1a),0.5,△,体育科目,共通分野,elective-required
TCU-PE-1B,基礎体育(1b),0.5,△,体育科目,共通分野,elective-required
TCU-PE-2A,基礎体育(2a),0.5,△,体育科目,共通分野,elective-required
TCU-PE-2B,基礎体育(2b),0.5,△,体育科目,共通分野,elective-required
TCU-PE-AP1,応用体育(1),1,△,体育科目,共通分野,elective-required
TCU-PE-AP2,応用体育(2),1,△,体育科目,共通分野,elective-required
TCU-PE-HEALTH,スポーツ・健康論,2,○,体育科目,共通分野,required
TCU-ENG-CS1,Communication Skills(1),1,○,外国語科目,共通分野,required
TCU-ENG-CS2,Communication Skills(2),1,○,外国語科目,共通分野,required
TCU-IT-LIT,情報リテラシー,2,△1,情報機器の操作,共通分野,elective-required
TCU-IT-LITA,情報リテラシー演習(a),1,△1,情報機器の操作,共通分野,elective-required
TCU-IT-LITB,情報リテラシー演習(b),1,△1,情報機器の操作,共通分野,elective-required
TCU-PROG-BASE-A,プログラミング基礎(a),1,△1,情報機器の操作,共通分野,elective-required
TCU-PROG-BASE-B,プログラミング基礎(b),1,△1,情報機器の操作,共通分野,elective-required
TCU-DS-LIT1,データサイエンスリテラシー(1),1,△2,数理・データ活用及び人工知能に関する科目,共通分野,elective-required
TCU-DS-LIT2,データサイエンスリテラシー(2),1,△2,数理・データ活用及び人工知能に関する科目,共通分野,elective-required
