departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
genshiryoku,原子,月,1,前期前,1,,線形代数学(1a),井上 浩一,saa161101,11A,対象[26-21],,,18
genshiryoku,原子,月,1,前期前,2,,線形代数学(2a),曽布川 拓也,saa111109,13M,対象[25-21],,,18
genshiryoku,原子,月,1,前期前,3,,核燃料･材料工学,佐藤 勇 松浦 治明 佐藤 勇 松浦 治明,saa161105,13J,対象[20-18],"対開講(月1,木1)",,18
genshiryoku,原子,月,1,前期前,3,,核燃料材料・サイクル化 学工学,佐藤 勇 松浦 治明 佐藤 勇 松浦 治明,saa161105,13J,対象[24-21],"対開講(月1,木1)",,18
genshiryoku,原子,月,1,前期後,1,,線形代数学(1b),井上 浩一,sab161102,11A,対象[26-21],,,18
genshiryoku,原子,月,1,前期後,2,,線形代数学(2b),曽布川 拓也,sab111110,13M,対象[25-21],,,18
genshiryoku,原子,月,1,前期後,3,,原子力機械耐震工学,中村 いずみ 大鳥 靖樹 中村 いずみ 大鳥 靖樹,sab161106,11F,対象[20-18],"対開講(月1,木1)",,18
genshiryoku,原子,月,1,前期後,3,,原子力耐震工学,中村 いずみ 大鳥 靖樹 中村 いずみ 大鳥 靖樹,sab161106,11F,対象[24-21],"対開講(月1,木1)",,18
genshiryoku,原子,月,2,前期,1,II-A,Communication,篠原 俊吾,saz151201,12D,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-B,Communication,中村 優子,saz151202,11B,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-C,Communication,日高 正司,saz151203,11C,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-D,Communication,松原 理佐,saz151204,12J,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-E,Communication,酒井 美江,saz151205,12C,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-F,Communication,グルンデル 教子,saz151206,12F,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-G,Communication,三幣 友行,saz151207,11D,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-H,Communication,冨樫 須奈美,saz151208,12A,対象[26-26],,,18
genshiryoku,原子,月,2,前期,1,II-I,Communication,鷹取 勇希,saz151209,12G,対象[26-26],,,18
genshiryoku,原子,月,2,前期前,2,,微分積分学(2a),前田 多恵,saa111202,13J,対象[25-21],"対開講(月2,木4)",,18
genshiryoku,原子,月,2,前期前,2,,微分方程式論,中井 洋史,saa141202,1BB,対象[25-18],,,18
genshiryoku,原子,月,2,前期後,2,,微分積分学(2b),前田 多恵,sab111203,13J,対象[25-21],,,18
genshiryoku,原子,月,2,前期後,3,,放射線医療工学,河原林 順 羽倉 尚人 河原林 順 羽倉 尚人,sab161203,12N,対象[20-18],"対開講(月2,木2)",,18
genshiryoku,原子,月,2,前期後,3,,放射線計測工学,河原林 順 羽倉 尚人 河原林 順 羽倉 尚人,sab161203,12N,対象[24-21],"対開講(月2,木2)",,18
genshiryoku,原子,月,3,前期前,1,,SD PBL(1),河原林 順 高木 直行 西山 潤 佐藤 勇 松浦 治明 羽倉 尚人,saa161303,13P,対象[26-20],"対開講(月3,月4)",,18
genshiryoku,原子,月,3,前期前,2,,放射線・電気工学基礎,羽倉 尚人 河原林 順 羽倉 尚人 河原林 順,saa161304,1BN,対象[25-21],"対開講(月3,木3)",,18
