departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
iyo,医用,月,1,前期前,1,甲,基礎体育(1a),久保 哲也 井村 祥子 山口 良博,saa151101,-,対象[26-21],,,11
iyo,医用,月,1,前期前,2,,医用電磁気学及び演習(a),都甲 浩芳,saa141105,12L,対象[25-21],"対開講(月1,木1)",○,11
iyo,医用,月,1,前期前,3,,解剖･生理学,杉本 潤,saa141102,11F,対象[24-21],"対開講(月1,木1)",,11
iyo,医用,月,1,前期後,1,甲,基礎体育(1b),久保 哲也 井村 祥子 山口 良博,sab151102,-,対象[26-21],,,11
iyo,医用,月,1,前期後,2,,医用電磁気学及び演習(b),都甲 浩芳,sab141106,13J,対象[25-21],"対開講(月1,木1)",○,11
iyo,医用,月,1,前期後,3,,内科・診断学,早坂 信哉,sab141104,12M,対象[24-16],"対開講(月1,木1)",,11
iyo,医用,月,2,前期前,2,,生物学(1),宮崎 正峰,saa001231,31A,対象[25-16],"対開講(月2,木2)",,11
iyo,医用,月,2,前期前,2,,線形代数学(2a),曽布川 拓也,saa141201,13M,対象[25-21],"対開講(月2,木4)",,11
iyo,医用,月,2,前期前,2,,微分方程式論,中井 洋史,saa141202,1BB,対象[25-16],,,11
iyo,医用,月,2,前期前,2,,医用電気回路,京相 雅樹,saa141204,1BC,対象[25-19],"対開講(月2,木2)",,11
iyo,医用,月,2,前期前,3,,生化学,小林 千尋,saa141205,12N,対象[24-16],"対開講(月2,木2)",,11
iyo,医用,月,2,前期後,2,,生物学(1),宮崎 正峰,sab001232,31B,対象[25-16],"対開講(月2,木2)",,11
iyo,医用,月,2,前期後,2,,線形代数学(2b),曽布川 拓也,sab141203,13M,対象[25-21],,,11
iyo,医用,月,3,前期,1,,SD PBL(1),早坂 信哉 都甲 浩芳 京相 雅樹 和多田 雅哉 坂口 勝久 桃沢 愛 小林 千尋 髙橋 玄宇 杉本 潤,saz141307,2号館学生 実験室,対象[26-20],,,11
iyo,医用,月,3,前期前,1,,情報リテラシー演習(a),古澤 実,saa141309,12M,対象[26-26],,,11
iyo,医用,月,3,前期後,1,,情報リテラシー演習(b),古澤 実,sab141310,12M,対象[26-26],,,11
iyo,医用,月,3,前期後,2,,ベクトル解析学,服部 新,sab141305,11F,対象[25-16],"対開講(月3,木3)",,11
iyo,医用,月,4,前期,3,,事例研究(1),都甲 浩芳 京相 雅樹 桃沢 愛 坂口 勝久 小林 千尋 髙橋 玄宇 早坂 信哉 杉本 潤,saz141401,"1BN,各研究 室",対象[24-20],,,11
iyo,医用,月,4,前期後,2,,生理学(2),島谷 祐一,sab141402,11B,対象[25-16],"対開講(月4,木4)",,11
iyo,医用,火,1,前期,1,,知的財産,伊藤 剣太,saz112141,"71B(1Q),61 C(2Q)",対象[26-23],,,11
iyo,医用,火,1,前期前,1,,医用工学リテラシー,京相 雅樹 桃沢 愛,saa142102,12P,対象[26-21],"対開講(火1,金1)",,11
iyo,医用,火,1,前期前,2,,化学(3),吉田 真史,saa172108,71A,対象[20-18],"対開講(火1,金1)",,11
iyo,医用,火,1,前期前,3,,技術者倫理,髙橋 玄宇 北村 敏 安部 毅,saa142103,13J,対象[24-16],"対開講(火1,金1)",,11
iyo,医用,火,1,前期後,1,,化学(1),吉田 真史,sab162104,22C,対象[26-16],"対開講(火1,金1)",,11
iyo,医用,火,1,前期後,2,,医用電子回路,京相 雅樹,sab142104,12P,対象[25-19],"対開講(火1,金1)",○,11
iyo,医用,火,2,前期,1,,知的財産,伊藤 剣太,saz112205,"71B(1Q),61 C(2Q)",対象[26-23],,,11
iyo,医用,火,2,前期前,1,IV-A,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122201,12J,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-B,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122202,12G,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-C,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122203,12C,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-D,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122204,12D,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-E,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122205,12A,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-F,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122206,12E,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-G,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122207,12F,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-H,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122208,13K,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-I,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122209,11C,対象[26-26],,,11
iyo,医用,火,2,前期前,1,IV-J,Reading and Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122210,12H,対象[26-26],,,11
iyo,医用,火,2,前期前,2,,地学(1),小田島 庸浩,saa002216,"31A,31B",対象[25-16],"対開講(火2,金2)",,11
iyo,医用,火,2,前期前,2,,生理学(1),坂口 勝久,saa142201,1BC,対象[25-16],"対開講(火2,金2)",,11
iyo,医用,火,2,前期前,3,,医用機械工学応用(1),桃沢 愛,saa142202,11E,対象[24-19],"対開講(火2,金2)",,11
iyo,医用,火,2,前期後,1,IV-A,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122211,12J,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-B,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122212,12G,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-C,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122213,12C,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-D,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122214,12D,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-E,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122215,12A,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-F,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122216,12E,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-G,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122217,12F,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-H,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122218,13K,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-I,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122219,11C,対象[26-26],,,11
iyo,医用,火,2,前期後,1,IV-J,Reading and Writing(1b),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,sab122220,12H,対象[26-26],,,11
iyo,医用,火,2,前期後,2,,地学(1),坂口 勝久 髙橋 玄宇 清家 一馬,sab002240,2号館学生 実験室 31B,対象[25-16],"対開講(火2,金2)",,11
iyo,医用,火,2,前期後,2,,SD PBL(2),坂口 勝久 髙橋 玄宇 清家 一馬,sab142203,2号館学生 実験室 31B,対象[25-20],"対開講(火2,金2)",,11
iyo,医用,火,2,前期後,3,,医用機械工学応用(2),和多田 雅哉,sab142204,22B,対象[24-19],"対開講(火2,金2)",,11
iyo,医用,火,3,前期前,1,,線形代数学(1a),服部 新,saa142301,11F,対象[26-21],,,11
iyo,医用,火,3,前期後,1,,線形代数学(1b),服部 新,sab142302,11F,対象[26-21],,,11
iyo,医用,火,4,前期前,1,,微分積分学(1a)ﾘﾒﾃﾞｨｱﾙｸﾗｽ,椎名 貴久 田邊 顕一朗 name,saa262402,13P,対象[26-26],"対開講(火4,金4)",,11
iyo,医用,火,4,前期前,3,,医用機器,京相 雅樹 工藤 琢也,saa142403,12E,対象[24-16],"対開講(火4,金4)",,11
iyo,医用,火,4,前期後,1,,微分積分学(1b)ﾘﾒﾃﾞｨｱﾙｸﾗｽ,椎名 貴久 田邊 顕一朗 name,sab262404,13P,対象[26-26],"対開講(火4,金4)",,11
iyo,医用,火,4,前期後,3,,医用安全工学,京相 雅樹 工藤 琢也,sab142404,11E,対象[24-16],"対開講(火4,金4)",,11
iyo,医用,水,1,前期前,2,,数理統計学(a),出耒 光夫,saa123105,12A,対象[25-21],,,11
iyo,医用,水,1,前期前,2,,微分積分学(2a),富久 拓磨,saa133101,12F,対象[25-21],,,11
iyo,医用,水,1,前期後,2,,数理統計学(b),出耒 光夫,sab123106,12A,対象[25-21],,,11
iyo,医用,水,1,前期後,2,,微分積分学(2b),富久 拓磨,sab133102,12F,対象[25-21],,,11
iyo,医用,水,2,前期前,1,乙,基礎体育(1a),椿原 徹也 山田 盛朗 岩本 哲也 山口 良博,saa123207,-,対象[26-26],,,11
iyo,医用,水,2,前期後,1,乙,基礎体育(1b),椿原 徹也 山田 盛朗 岩本 哲也 山口 良博,sab123208,-,対象[26-26],,,11
