departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage,sourceFile,normalizedTitle,matchedCourseId,matchedCourseTitle,matchedCourseType,matchedCategory,matchedGroup,matchStatus,matchConfidence
iyo,医用,世田谷,月,1,前期前,1,甲,基礎体育(1a),久保 哲也 井村 祥子 山口 良博,saa151101,-,対象[26-21],,,11,2026世田谷キャンパス前期.pdf,基礎体育(1a),TCU-PE-1A,基礎体育(1a),elective-required,体育科目,共通分野,exact,1.0
iyo,医用,世田谷,月,1,前期前,2,甲,医用電磁気学及び演習(a),都甲 浩芳,saa141105,12L,対象[25-21],"対開講(月1,木1) ○",○,11,2026世田谷キャンパス前期.pdf,医用電磁気学及び演習(a),MD-231,医用電磁気学及び演習(a),required,専門科目,電気・電子・情報系,exact,1.0
iyo,医用,世田谷,月,1,前期前,3,甲,解剖･生理学,杉本 潤,saa141102,11F,対象[24-21],"対開講(月1,木1)",,11,2026世田谷キャンパス前期.pdf,解剖・生理学,,,,,,unmatched,0
iyo,医用,世田谷,月,1,前期後,1,甲,基礎体育(1b),久保 哲也 井村 祥子 山口 良博,sab151102,-,対象[26-21],,,11,2026世田谷キャンパス前期.pdf,基礎体育(1b),TCU-PE-1B,基礎体育(1b),elective-required,体育科目,共通分野,exact,1.0
iyo,医用,世田谷,月,1,前期後,2,甲,医用電磁気学及び演習(b),都甲 浩芳,sab141106,13J,対象[25-21],"対開講(月1,木1) ○",○,11,2026世田谷キャンパス前期.pdf,医用電磁気学及び演習(b),MD-232,医用電磁気学及び演習(b),required,専門科目,電気・電子・情報系,exact,1.0
iyo,医用,世田谷,月,1,前期後,3,甲,内科・診断学,早坂 信哉,sab141104,12M,対象[24-16],"対開講(月1,木1)",,11,2026世田谷キャンパス前期.pdf,内科・診断学,,,,,,unmatched,0
iyo,医用,世田谷,月,2,前期前,2,甲,医用電気回路,京相 雅樹,saa141204,1BC,対象[25-19],"対開講(月2,木2)",,11,2026世田谷キャンパス前期.pdf,医用電気回路,MD-233,医用電気回路,required,専門科目,電気・電子・情報系,exact,1.0
iyo,医用,世田谷,月,2,前期前,2,甲,生物学(1),宮崎 正峰,saa001231,31A,対象[25-16],"対開講(月2,木2)",,11,2026世田谷キャンパス前期.pdf,生物学(1),,,,,,unmatched,0
iyo,医用,世田谷,月,2,前期前,2,甲,線形代数学(2a),曽布川 拓也,saa141201,13M,対象[25-21],,,11,2026世田谷キャンパス前期.pdf,線形代数学(2a),,,,,,unmatched,0
iyo,医用,世田谷,月,2,前期前,2,甲,微分方程式論,中井 洋史,saa141202,1BB,対象[25-16],"対開講(月2,木4)",,11,2026世田谷キャンパス前期.pdf,微分方程式論,,,,,,unmatched,0
iyo,医用,世田谷,月,2,前期前,3,甲,生化学,小林 千尋,saa141205,12N,対象[24-16],"対開講(月2,木2)",,11,2026世田谷キャンパス前期.pdf,生化学,,,,,,unmatched,0
iyo,医用,世田谷,月,2,前期後,2,甲,生物学(1),宮崎 正峰,sab001232,31B,対象[25-16],"対開講(月2,木2)",,11,2026世田谷キャンパス前期.pdf,生物学(1),,,,,,unmatched,0
iyo,医用,世田谷,月,2,前期後,2,甲,線形代数学(2b),曽布川 拓也,sab141203,13M,対象[25-21],,,11,2026世田谷キャンパス前期.pdf,線形代数学(2b),,,,,,unmatched,0
iyo,医用,世田谷,月,3,前期,1,SD,PBL(1),早坂 信哉 都甲 浩芳 京相 雅樹 和多田 雅哉,saz141307,2号館学生,対象[26-20] 実験室,,,11,2026世田谷キャンパス前期.pdf,PBL(1),,,,,,unmatched,0
iyo,医用,世田谷,月,3,前期前,1,SD,情報リテラシー演習(a),古澤 実,saa141309,12M,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,情報リテラシー演習(a),TCU-IT-LITA,情報リテラシー演習(a),elective-required,情報機器の操作,共通分野,exact,1.0
iyo,医用,世田谷,月,3,前期後,1,SD,情報リテラシー演習(b),古澤 実,sab141310,12M,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,情報リテラシー演習(b),TCU-IT-LITB,情報リテラシー演習(b),elective-required,情報機器の操作,共通分野,exact,1.0
iyo,医用,世田谷,月,3,前期後,2,SD,ベクトル解析学,服部 新,sab141305,11F,対象[25-16],"対開講(月3,木3)",,11,2026世田谷キャンパス前期.pdf,ベクトル解析学,,,,,,unmatched,0
iyo,医用,世田谷,月,4,前期,3,SD,事例研究(1),都甲 浩芳 京相 雅樹 桃沢 愛 坂口 勝久,saz141401,"1BN,各研究",対象[24-20] 室,,,11,2026世田谷キャンパス前期.pdf,事例研究(1),,,,,,unmatched,0
iyo,医用,世田谷,月,4,前期後,2,SD,生理学(2),島谷 祐一,sab141402,11B,対象[25-16],"対開講(月4,木4)",,11,2026世田谷キャンパス前期.pdf,生理学(2),,,,,,unmatched,0
iyo,医用,世田谷,火,1,前期,1,SD,知的財産,伊藤 剣太,saz112141,"71B(1Q),61",対象[26-23] C(2Q),,,11,2026世田谷キャンパス前期.pdf,知的財産,,,,,,unmatched,0
iyo,医用,世田谷,火,1,前期前,1,SD,医用工学リテラシー,京相 雅樹 桃沢 愛,saa142102,12P,対象[26-21],"対開講(火1,金1)",,11,2026世田谷キャンパス前期.pdf,医用工学リテラシー,,,,,,unmatched,0
iyo,医用,世田谷,火,1,前期前,2,SD,化学(3),吉田 真史,saa172108,71A,対象[20-18],"対開講(火1,金1)",,11,2026世田谷キャンパス前期.pdf,化学(3),,,,,,unmatched,0
iyo,医用,世田谷,火,1,前期前,3,SD,技術者倫理,髙橋 玄宇 北村 敏 安部 毅,saa142103,13J,対象[24-16],"対開講(火1,金1)",,11,2026世田谷キャンパス前期.pdf,技術者倫理,,,,,,unmatched,0
iyo,医用,世田谷,火,1,前期後,1,SD,化学(1),吉田 真史,sab162104,22C,対象[26-16],"対開講(火1,金1)",,11,2026世田谷キャンパス前期.pdf,化学(1),,,,,,unmatched,0
iyo,医用,世田谷,火,1,前期後,2,SD,医用電子回路,京相 雅樹,sab142104,12P,対象[25-19],"対開講(火1,金1) ○",○,11,2026世田谷キャンパス前期.pdf,医用電子回路,MD-234,医用電子回路,required,専門科目,電気・電子・情報系,exact,1.0
iyo,医用,世田谷,火,2,前期,1,SD,知的財産,伊藤 剣太,saz112205,"71B(1Q),61",対象[26-23] C(2Q),,,11,2026世田谷キャンパス前期.pdf,知的財産,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-A,Reading and,Writing(1a) 日高 正司,saa122201,12J,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-B,Reading and,Writing(1a) ヴァーラ内田 エイ ドリアン ミッシェ,saa122202,12G,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-C,Reading and,Writing(1a) 秋間 聖代,saa122203,12C,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-D,Reading and,Writing(1a) 水戸 俊介,saa122204,12D,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-E,Reading and,Writing(1a) 佐竹 幸信,saa122205,12A,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-F,Reading and,Writing(1a) 古谷 裕美,saa122206,12E,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-G,Reading and,Writing(1a) 松本 淳子,saa122207,12F,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-H,Reading and,Writing(1a) 鷹取 勇希,saa122208,13K,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-I,Reading and,Writing(1a) 染谷 昌弘,saa122209,11C,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,1,IV-J,Reading and,Writing(1a) 小林 美文,saa122210,12H,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,2,IV-J,生理学(1),坂口 勝久,saa142201,1BC,対象[25-16],"対開講(火2,金2)",,11,2026世田谷キャンパス前期.pdf,生理学(1),,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,2,IV-J,地学(1),小田島 庸浩,saa002216,"31A,31B",対象[25-16],"対開講(火2,金2)",,11,2026世田谷キャンパス前期.pdf,地学(1),,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期前,3,IV-J,医用機械工学応用(1),桃沢 愛,saa142202,11E,対象[24-19],"対開講(火2,金2)",,11,2026世田谷キャンパス前期.pdf,医用機械工学応用(1),,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期後,1,IV-A,Reading and,Writing(1b) 日高 正司,sab122211,12J,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期後,1,IV-B,Reading and,Writing(1b) ヴァーラ内田 エイ ドリアン ミッシェ,sab122212,12G,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期後,1,IV-C,Reading and,Writing(1b) 秋間 聖代,sab122213,12C,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
iyo,医用,世田谷,火,2,前期後,1,IV-D,Reading and,Writing(1b) 水戸 俊介,sab122214,12D,対象[26-26],,,11,2026世田谷キャンパス前期.pdf,Readingand,,,,,,unmatched,0
