id,title,credits,raw_required,category,group,courseType
MD-231,医用電磁気学及び演習(a),1.5,○,専門科目,電気・電子・情報系,required
MD-232,医用電磁気学及び演習(b),1.5,○,専門科目,電気・電子・情報系,required
MD-233,医用電気回路,2,○,専門科目,電気・電子・情報系,required
MD-234,医用電子回路,2,○,専門科目,電気・電子・情報系,required
MD-331,プログラミング応用,2,△,専門科目,電気・電子・情報系,elective-required
MD-235,ディジタル信号処理,2,,専門科目,電気・電子・情報系,elective
MD-236,ディジタル回路,2,△,専門科目,電気・電子・情報系,elective-required
MD-332,計測工学,2,△,専門科目,電気・電子・情報系,elective-required
SE-341,金属加工(実習含),2,,理工学基礎科目,理工学教養系,elective
SE-342,電気工学概論(実習含),2,,理工学基礎科目,理工学教養系,elective
SE-945,SD PBL(1),1,○,理工学基礎科目,理工学教養系,required
SE-946,SD PBL(2),1,○,理工学基礎科目,理工学教養系,required
SE-947,SD PBL(3),1,○,理工学基礎科目,理工学教養系,required
LA-111,哲学(1),2,G,教養科目,共通分野,elective
LA-112,哲学(2),2,G,教養科目,共通分野,elective
LA-113,倫理学(1),2,,教養科目,共通分野,elective
LA-114,倫理学(2),2,,教養科目,共通分野,elective
LA-115,倫理学(a),1,,教養科目,共通分野,elective
LA-116,倫理学(b),1,,教養科目,共通分野,elective
LA-117,文化人類学,2,,教養科目,共通分野,elective
LA-118,視覚芸術史(1),2,G,教養科目,共通分野,elective
LA-119,視覚芸術史(2),2,G,教養科目,共通分野,elective
LA-211,デザイン概論(1),2,G,教養科目,共通分野,elective
LA-212,デザイン概論(2),2,G,教養科目,共通分野,elective
LA-213,日本文学,2,G,教養科目,共通分野,elective
LA-11A,日本史(1),2,G,教養科目,共通分野,elective
LA-11B,日本史(2),2,G,教養科目,共通分野,elective
LA-11C,西洋史(1),2,G,教養科目,共通分野,elective
LA-11D,西洋史(2),2,G,教養科目,共通分野,elective
LA-11E,民俗学(a),1,G,教養科目,共通分野,elective
LA-11F,民俗学(b),1,G,教養科目,共通分野,elective
TCU-JPN-CONST,日本国憲法,2,○,教養科目,共通分野,required
TCU-PE-1A,基礎体育(1a),0.5,△,体育科目,共通分野,elective-required
TCU-PE-1B,基礎体育(1b),0.5,△,体育科目,共通分野,elective-required
TCU-PE-2A,基礎体育(2a),0.5,△,体育科目,共通分野,elective-required
TCU-PE-2B,基礎体育(2b),0.5,△,体育科目,共通分野,elective-required
TCU-PE-AP1,応用体育(1),1,△,体育科目,共通分野,elective-required
TCU-PE-AP2,応用体育(2),1,△,体育科目,共通分野,elective-required
TCU-PE-HEALTH,スポーツ・健康論,2,○,体育科目,共通分野,required
TCU-ENG-CS1,Communication Skills(1),1,○,外国語科目,共通分野,required
TCU-ENG-CS2,Communication Skills(2),1,○,外国語科目,共通分野,required
TCU-IT-LIT,情報リテラシー,2,△1,情報機器の操作,共通分野,elective-required
TCU-IT-LITA,情報リテラシー演習(a),1,△1,情報機器の操作,共通分野,elective-required
TCU-IT-LITB,情報リテラシー演習(b),1,△1,情報機器の操作,共通分野,elective-required
TCU-PROG-BASE-A,プログラミング基礎(a),1,△1,情報機器の操作,共通分野,elective-required
TCU-PROG-BASE-B,プログラミング基礎(b),1,△1,情報機器の操作,共通分野,elective-required
TCU-DS-LIT1,データサイエンスリテラシー(1),1,△2,数理・データ活用及び人工知能に関する科目,共通分野,elective-required
TCU-DS-LIT2,データサイエンスリテラシー(2),1,△2,数理・データ活用及び人工知能に関する科目,共通分野,elective-required
