departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
kikai,機械,月,1,前期前,2,,線形代数学(2a),曽布川 拓也,saa111109,13M,対象[25-21],,,1
kikai,機械,月,1,前期後,1,,機械工作概論,亀山 雄高,sab111111,61A,対象[26-17],"対開講(月1,木1)",,1
kikai,機械,月,1,前期後,2,,線形代数学(2b),曽布川 拓也 佐藤 秀明 小玉 脩平,sab111110,"13M 13P,機械系 設計製図室 (10号館)",対象[25-21],"対開講(火1前期前,火2前期前,",,1
kikai,機械,月,1,前期後,2,,再・機械要素設計及び演習,曽布川 拓也 佐藤 秀明 小玉 脩平,saz112145,"13M 13P,機械系 設計製図室 (10号館)",対象[24-17],"月1前期後,月2前期後)",,1
kikai,機械,月,2,前期前,2,,微分積分学(2a),前田 多恵,saa111202,13J,対象[25-21],,,1
kikai,機械,月,2,前期前,3,,内燃機関,三原 雄司,saa111204,1BN,対象[24-17],"対開講(月2,木2)",,1
kikai,機械,月,2,前期後,2,,微分積分学(2b),前田 多恵 佐藤 秀明 小玉 脩平,sab111203,"13J 13P,機械系 設計製図室 (10号館)",対象[25-21],"対開講(火1前期前,火2前期前,",,1
kikai,機械,月,2,前期後,2,,再・機械要素設計及び演習,前田 多恵 佐藤 秀明 小玉 脩平,saz112145,"13J 13P,機械系 設計製図室 (10号館)",対象[24-17],"月1前期後,月2前期後)",,1
kikai,機械,月,3,前期前,1,AB,機械設計製図(a),伊東 明美 西部 光一 土井 俊弥 矢作 修一,saa111301,"機械系設計 製図室(10号 館) 11D,ものつ くり支援セ ンター",対象[26-21],"対開講(月3,月4)",,1
kikai,機械,月,3,前期前,1,CD,機械工作実習(a),伊東 明美 西部 光一 土井 俊弥 矢作 修一,saa111303,"機械系設計 製図室(10号 館) 11D,ものつ くり支援セ ンター",対象[26-21],"対開講(月3,月4)",,1
kikai,機械,月,3,前期前,2,,微分方程式論,岸本 喜直,saa111309,61A,対象[25-17],"対開講(月3,木3)",,1
kikai,機械,月,3,前期前,2,,電気・計測回路,冨士原 民雄,saa111310,13C,対象[20-17],"対開講(月3,金3)",,1
kikai,機械,月,3,前期後,1,AB,機械設計製図(b),伊東 明美 及川 昌訓 西部 光一 土井 俊弥 矢作 修一,sab111302,"機械系設計 製図室(10号 館) 11D,ものつ くり支援セ ンター",対象[26-21],"対開講(月3,月4)",,1
kikai,機械,月,3,前期後,1,CD,機械工作実習(b),伊東 明美 及川 昌訓 西部 光一 土井 俊弥 矢作 修一,sab111304,"機械系設計 製図室(10号 館) 11D,ものつ くり支援セ ンター",対象[26-21],"対開講(月3,月4)",,1
kikai,機械,月,4,前期前,1,AB,機械設計製図(a),伊東 明美 西部 光一 土井 俊弥 矢作 修一,saa111301,"機械系設計 製図室(10号 館) 11D,ものつ くり支援セ ンター",対象[26-21],"対開講(月3,月4)",,1
