id,title,credits,raw_required,category,group,courseType
SE-111,微分積分学(1a),1,○ ※MS,理工学基礎科目,数学系,required
SE-112,微分積分学(1b),1,○ ※MS,理工学基礎科目,数学系,required
SE-211,微分積分学(2a),1,○ ※MS,理工学基礎科目,数学系,required
SE-212,微分積分学(2b),1,○ ※MS,理工学基礎科目,数学系,required
SE-113,線形代数学(1a),1,○ ※MS,理工学基礎科目,数学系,required
SE-114,線形代数学(1b),1,○ ※MS,理工学基礎科目,数学系,required
SE-213,線形代数学(2a),1,○ ※MS,理工学基礎科目,数学系,required
SE-214,線形代数学(2b),1,○ ※MS,理工学基礎科目,数学系,required
SE-311,微分方程式論,2,△1,理工学基礎科目,数学系,elective-required
SE-312,ベクトル解析学,2,△1,理工学基礎科目,数学系,elective-required
SE-313,フーリエ解析学,2,△1,理工学基礎科目,数学系,elective-required
SE-314,数理統計学(a),1,△1 ※MS,理工学基礎科目,数学系,elective-required
SE-315,数理統計学(b),1,△1 ※MS,理工学基礎科目,数学系,elective-required
SE-123,物理学実験(a),1,○,理工学基礎科目,自然科学系,required
SE-124,物理学実験(b),1,○,理工学基礎科目,自然科学系,required
SE-131,情報リテラシー演習(a),1,○,理工学基礎科目,情報系,required
SE-132,情報リテラシー演習(b),1,○,理工学基礎科目,情報系,required
SE-241,技術者倫理,2,○,理工学基礎科目,理工学教養系,required
MC-111,機械設計製図(a),1,○,専門科目,学科共通,required
MC-211,機械設計製図(b),1,○,専門科目,学科共通,required
MC-112,機械工作実習(a),1,○,専門科目,学科共通,required
MC-212,機械工作実習(b),1,○,専門科目,学科共通,required
MC-311,創成設計演習,2,○,専門科目,学科共通,required
MC-221,機械力学(1)及び演習・実験,3,○,専門科目,機械力学,required
MC-231,材料力学,2,○,専門科目,材料力学,required
MC-241,流れ学及び演習・実験,3,○,専門科目,流体力学,required
MC-251,熱力学及び演習・実験,3,○,専門科目,熱力学,required
MC-261,機械材料学及び演習・実験,3,○,専門科目,材料学,required
MC-271,機械要素設計及び演習,3,○,専門科目,加工学,required
MC-312,事例研究,2,○,専門科目,卒業研究関連,required
MC-411,卒業研究(1),3,○,専門科目,卒業研究関連,required
MC-412,卒業研究(2),3,○,専門科目,卒業研究関連,required
LA-111,哲学(1),2,G,教養科目,共通分野,elective
LA-112,哲学(2),2,G,教養科目,共通分野,elective
LA-113,倫理学(1),2,,教養科目,共通分野,elective
LA-114,倫理学(2),2,,教養科目,共通分野,elective
LA-115,倫理学(a),1,,教養科目,共通分野,elective
LA-116,倫理学(b),1,,教養科目,共通分野,elective
LA-117,文化人類学,2,,教養科目,共通分野,elective
LA-118,視覚芸術史(1),2,G,教養科目,共通分野,elective
LA-119,視覚芸術史(2),2,G,教養科目,共通分野,elective
LA-211,デザイン概論(1),2,G,教養科目,共通分野,elective
LA-212,デザイン概論(2),2,G,教養科目,共通分野,elective
LA-213,日本文学,2,G,教養科目,共通分野,elective
LA-11A,日本史(1),2,G,教養科目,共通分野,elective
LA-11B,日本史(2),2,G,教養科目,共通分野,elective
LA-11C,西洋史(1),2,G,教養科目,共通分野,elective
LA-11D,西洋史(2),2,G,教養科目,共通分野,elective
LA-11E,民俗学(a),1,G,教養科目,共通分野,elective
LA-11F,民俗学(b),1,G,教養科目,共通分野,elective
TCU-JPN-CONST,日本国憲法,2,○,教養科目,共通分野,required
TCU-PE-1A,基礎体育(1a),0.5,△,体育科目,共通分野,elective-required
TCU-PE-1B,基礎体育(1b),0.5,△,体育科目,共通分野,elective-required
TCU-PE-2A,基礎体育(2a),0.5,△,体育科目,共通分野,elective-required
TCU-PE-2B,基礎体育(2b),0.5,△,体育科目,共通分野,elective-required
TCU-PE-AP1,応用体育(1),1,△,体育科目,共通分野,elective-required
TCU-PE-AP2,応用体育(2),1,△,体育科目,共通分野,elective-required
TCU-PE-HEALTH,スポーツ・健康論,2,○,体育科目,共通分野,required
TCU-ENG-CS1,Communication Skills(1),1,○,外国語科目,共通分野,required
TCU-ENG-CS2,Communication Skills(2),1,○,外国語科目,共通分野,required
TCU-IT-LIT,情報リテラシー,2,△1,情報機器の操作,共通分野,elective-required
TCU-IT-LITA,情報リテラシー演習(a),1,△1,情報機器の操作,共通分野,elective-required
TCU-IT-LITB,情報リテラシー演習(b),1,△1,情報機器の操作,共通分野,elective-required
TCU-PROG-BASE-A,プログラミング基礎(a),1,△1,情報機器の操作,共通分野,elective-required
TCU-PROG-BASE-B,プログラミング基礎(b),1,△1,情報機器の操作,共通分野,elective-required
TCU-DS-LIT1,データサイエンスリテラシー(1),1,△2,数理・データ活用及び人工知能に関する科目,共通分野,elective-required
TCU-DS-LIT2,データサイエンスリテラシー(2),1,△2,数理・データ活用及び人工知能に関する科目,共通分野,elective-required
