departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
ouyou_kagaku,応化,月,1,前期,2,,物理化学演習,大山 聖一 堀田 芳生 押鐘 由理子,saz151105,"1BB,1BC",対象[20-16],,○,14
ouyou_kagaku,応化,月,1,前期前,1,,基礎体育(1a),久保 哲也 井村 祥子 山口 良博,saa151101,-,対象[26-21],,,14
ouyou_kagaku,応化,月,1,前期前,2,,物理化学演習(a),大山 聖一 堀田 芳生 押鐘 由理子,saa151103,"1BB,1BC",対象[25-21],,○,14
ouyou_kagaku,応化,月,1,前期後,1,,基礎体育(1b),久保 哲也 井村 祥子 山口 良博,sab151102,-,対象[26-21],,,14
ouyou_kagaku,応化,月,1,前期後,2,,物理化学演習(b),大山 聖一 堀田 芳生 押鐘 由理子,sab151104,"1BB,1BC",対象[25-21],,○,14
ouyou_kagaku,応化,月,2,前期,1,II-A,Communication,篠原 俊吾,saz151201,12D,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-B,Communication,中村 優子,saz151202,11B,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-C,Communication,日高 正司,saz151203,11C,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-D,Communication,松原 理佐,saz151204,12J,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-E,Communication,酒井 美江,saz151205,12C,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-F,Communication,グルンデル 教子,saz151206,12F,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-G,Communication,三幣 友行,saz151207,11D,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-H,Communication,冨樫 須奈美,saz151208,12A,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,1,II-I,Communication,鷹取 勇希,saz151209,12G,対象[26-26],,,14
ouyou_kagaku,応化,月,2,前期,3,,応用電気化学,秀島 翔,saz151404,11A,対象[23-18],,,14
ouyou_kagaku,応化,月,2,前期前,2,,線形代数学(2a),曽布川 拓也,saa141201,13M,対象[25-21],,,14
ouyou_kagaku,応化,月,2,前期前,3,,応用電気化学(a),秀島 翔,saz157606,11A,対象[24-24],,,14
ouyou_kagaku,応化,月,2,前期後,2,,線形代数学(2b),曽布川 拓也,sab141203,13M,対象[25-21],,,14
ouyou_kagaku,応化,月,2,前期後,2,,ベクトル解析学,肥田野 久二男,sab151221,1BM,対象[25-16],"対開講(月2,木4)",,14
ouyou_kagaku,応化,月,2,前期後,3,,応用電気化学(b),秀島 翔,saz157607,11A,対象[24-24],,,14
ouyou_kagaku,応化,月,3,前期前,1,A,化学実験,堀越 篤史 田中 健太郎 中村 和彦 石井 義孝 北川 匡伸 村上 志緒 池島 宏子 堀田 芳生 岸 和央 金子 毅,saa151310,化学実験室,対象[26-16],"対開講(月3,月4,木3,木4)",,14
ouyou_kagaku,応化,月,3,前期前,3,,構造化学,塩月 雅士,sba151405,11C,対象[24-16],"対開講(月3,木3)",,14
ouyou_kagaku,応化,月,3,前期後,1,B,化学実験,吉田 真史 堀越 篤史 中村 和彦 石井 義孝 北川 匡伸 堀田 芳生 岸 和央 金子 毅 池島 宏子,sab151311,化学実験室,対象[26-16],"対開講(月3,月4,木3,木4)",,14
ouyou_kagaku,応化,月,3,前期後,2,,SD PBL(2),黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子 黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子,sab151306,13M,対象[25-20],"対開講(月3,月4)",,14
ouyou_kagaku,応化,月,3,前期後,2,,材料化学演習,黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子 黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子,sab151306,13M,対象[19-16],"対開講(月3,月4)",,14
ouyou_kagaku,応化,月,3,前期後,3,,界面化学,藤森 厚裕,sab152208,1BB,対象[24-16],"対開講(月3,木3)",,14
ouyou_kagaku,応化,月,4,前期前,1,A,化学実験,堀越 篤史 田中 健太郎 中村 和彦 石井 義孝 北川 匡伸 村上 志緒 池島 宏子 堀田 芳生 岸 和央 金子 毅,saa151310,化学実験室,対象[26-16],"対開講(月3,月4,木3,木4)",,14
ouyou_kagaku,応化,月,4,前期前,2,,微分方程式論,肥田野 久二男,saa151401,1BM,対象[25-16],"対開講(月4,木4)",,14
ouyou_kagaku,応化,月,4,前期後,1,B,化学実験,吉田 真史 堀越 篤史 中村 和彦 石井 義孝 北川 匡伸 堀田 芳生 岸 和央 金子 毅 池島 宏子,sab151311,化学実験室,対象[26-16],"対開講(月3,月4,木3,木4)",,14
ouyou_kagaku,応化,月,4,前期後,2,,SD PBL(2),黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子 黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子,sab151306,13M,対象[25-20],"対開講(月3,月4)",,14
ouyou_kagaku,応化,月,4,前期後,2,,材料化学演習,黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子 黒岩 崇 金澤 昭彦 藤森 厚裕 岩村 武 塩月 雅士 大山 聖一 宮原 令二 押鐘 由理子,sab151306,13M,対象[19-16],"対開講(月3,月4)",,14
ouyou_kagaku,応化,火,1,前期,1,,知的財産,伊藤 剣太,saz112141,"71B(1Q),61C (2Q)",対象[26-23],,,14
ouyou_kagaku,応化,火,1,前期前,1,,化学(1),田中 健太郎,saa152105,21C,対象[26-16],"対開講(火1,金1)",,14
ouyou_kagaku,応化,火,1,前期前,2,,分子構造論,吉田 真史,saa172108,71A,対象[25-21],"対開講(火1,金1)",,14
ouyou_kagaku,応化,火,1,前期前,2,,化学(3),吉田 真史,saa172108,71A,対象[20-18],"対開講(火1,金1)",,14
ouyou_kagaku,応化,火,1,前期前,3,,化学工学,高津 淑人,saa152103,1BJ,対象[24-18],"対開講(火1,金2)",,14
