departmentId,sourceDepartment,day,period,term,gradeYear,className,title,teacher,lectureCode,room,target,remarks,requiredFlag,sourcePage
shizen_suuri,自然,月,1,前期前,1,A,化学実験,吉田 真史 高木 晋作 中村 和彦 石井 義孝 北川 匡伸 村上 志緒 金子 毅 池島 宏子 岸 和央,saa171103,化学実験室,対象[26-18],"対開講(月1,月2,木1,木2)",,21
shizen_suuri,自然,月,1,前期前,2,,線形代数学(2a),曽布川 拓也,saa111109,13M,対象[25-21],,,21
shizen_suuri,自然,月,1,前期後,1,B,化学実験,吉田 真史 田中 健太郎 中村 和彦 石井 義孝 北川 匡伸 村上 志緒 金子 毅 池島 宏子 岸 和央 堀田 芳生,sab171104,化学実験室,対象[26-18],"対開講(月1,月2,木1,木2)",,21
shizen_suuri,自然,月,1,前期後,2,,線形代数学(2b),曽布川 拓也,sab111110,13M,対象[25-21],,,21
shizen_suuri,自然,月,2,前期前,1,A,化学実験,吉田 真史 高木 晋作 中村 和彦 石井 義孝 北川 匡伸 村上 志緒 金子 毅 池島 宏子 岸 和央,saa171103,化学実験室,対象[26-18],"対開講(月1,月2,木1,木2)",,21
shizen_suuri,自然,月,2,前期前,2,,微分方程式論,中井 洋史,saa141202,1BB,対象[25-18],"対開講(月2,木4)",,21
shizen_suuri,自然,月,2,前期後,1,B,化学実験,吉田 真史 田中 健太郎 中村 和彦 石井 義孝 北川 匡伸 村上 志緒 金子 毅 池島 宏子 岸 和央 堀田 芳生,sab171104,化学実験室,対象[26-18],"対開講(月1,月2,木1,木2)",,21
shizen_suuri,自然,月,2,前期後,2,,集合と論理,中井 洋史,sab171203,12H,対象[25-18],"対開講(月2,木4)",,21
shizen_suuri,自然,月,3,前期前,1,,物理学(1),飯島 正徳,saa171302,1BL,対象[19-18],"対開講(月3,木3)",,21
shizen_suuri,自然,月,3,前期前,1,,力学,飯島 正徳,saa171302,1BL,対象[26-20],"対開講(月3,木3)",,21
shizen_suuri,自然,月,3,前期後,1,,データサイエンスリテラシー(1),糸川 修,sab161302,21C,対象[26-20],"対開講(月3,月4)",,21
shizen_suuri,自然,月,3,前期後,2,,地球変動論,萩谷 宏,sab171303,11C,対象[25-18],"対開講(月3,木3)",,21
shizen_suuri,自然,月,3,前期後,3,,分子の運動,高木 晋作,sab171305,12H,対象[24-18],"対開講(月3,木3)",,21
shizen_suuri,自然,月,4,前期前,1,,物理学(1)演習,飯島 正徳,saa171403,1BL,対象[19-18],"対開講(月4,木4)",,21
shizen_suuri,自然,月,4,前期前,1,,力学演習,飯島 正徳,saa171403,1BL,対象[26-20],"対開講(月4,木4)",,21
shizen_suuri,自然,月,4,前期後,1,,データサイエンスリテラ,糸川 修,sab161302,21C,対象[26-20],"対開講(月3,月4)",,21
shizen_suuri,自然,月,4,前期後,1,,シー(1) 地学(1),萩谷 宏,sab172308,11C,対象[26-18],"対開講(月4,木4)",,21
shizen_suuri,自然,月,4,前期後,2,,ベクトル解析学,服部 新,sab171401,11F,対象[25-18],"対開講(月4,木2)",,21
shizen_suuri,自然,月,4,前期後,3,,古生物学,中島 保寿,sab171406,12C,対象[24-19],"対開講(月4,木4)",,21
shizen_suuri,自然,月,5,前期,2,,幾何学(1),橋本 義武,saz171501,13P,対象[25-20],,,21
shizen_suuri,自然,火,1,前期,1,,知的財産,伊藤 剣太,saz112141,"71B(1Q),61C (2Q)",対象[26-23],,,21
shizen_suuri,自然,火,1,前期前,1,,微分積分学(1a),中井 洋史,saa172101,11A,対象[26-21],,,21
shizen_suuri,自然,火,1,前期前,2,,分子構造論,吉田 真史,saa172108,71A,対象[25-18],"対開講(火1,金1)",○,21
shizen_suuri,自然,火,1,前期前,2,,極限と位相,服部 新,saa172110,1BP,対象[19-19],"対開講(火1,金1)",○,21
shizen_suuri,自然,火,1,前期前,2,,基礎論理回路,佐々木 智志,saa312103,22C,対象[25-18],"対開講(火1,金1)",○,21
shizen_suuri,自然,火,1,前期前,3,,極限と位相,服部 新,saa172110,1BP,対象[24-20],"対開講(火1,金1)",,21
shizen_suuri,自然,火,1,前期後,1,,微分積分学(1b),中井 洋史,sab172102,11A,対象[26-21],,,21
shizen_suuri,自然,火,1,前期後,2,,電磁気学,飯島 正徳 門多 顕司,sab172106,1BD,対象[25-18],"対開講(火1,金1)",○,21
shizen_suuri,自然,火,2,前期,1,,知的財産,伊藤 剣太,saz112205,"71B(1Q),61C (2Q)",対象[26-23],,,21
shizen_suuri,自然,火,2,前期前,1,IV-A,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122201,12J,対象[26-26],,,21
shizen_suuri,自然,火,2,前期前,1,IV-B,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122202,12G,対象[26-26],,,21
shizen_suuri,自然,火,2,前期前,1,IV-C,Writing(1a),日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122203,12C,対象[26-26],,,21
shizen_suuri,自然,火,2,前期前,1,IV-D,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122204,12D,対象[26-26],,,21
shizen_suuri,自然,火,2,前期前,1,IV-E,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122205,12A,対象[26-26],,,21
shizen_suuri,自然,火,2,前期前,1,IV-F,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122206,12E,対象[26-26],,,21
shizen_suuri,自然,火,2,前期前,1,IV-G,Reading and,日高 正司 ヴァーラ内田 エイ ドリアン ミッシェ 秋間 聖代 水戸 俊介 佐竹 幸信 古谷 裕美 松本 淳子 鷹取 勇希 染谷 昌弘 小林 美文,saa122207,12F,対象[26-26],,,21
