id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
SD-PBL,「プロジェクト演習」，「国際ワークショップ」，「まちづくり演習」，「,0,,専門分野,特別科目,elective,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,「プロジェクト演習」，「国際ワークショップ」，「まちづくり演習」，「SD-PBL」などのプロジェクト型の演習科目では，,pdf_curriculum_table,,source_key=urban_life
LA-14H,文系のための数理基礎,2,※MS,共通分野,教養科目,elective,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,文系のための数理基礎                     ※MS        2     2     (2)                                  LA-14H   70     0      30   0    0,pdf_curriculum_table,,source_key=urban_life
UL-111,マーケティング概論,2,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,マーケティング概論                            ○    2   2                            UL-111   0     20   30   0    50   北見幸一,pdf_curriculum_table,,source_key=urban_life
UL-112,経営学概論,2,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,幹   経営学概論                                ○    2   2                            UL-112   0     20   30   0    50   菊池武晴,pdf_curriculum_table,,source_key=urban_life
UL-119,サービスデザイン(1),2,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,科   サービスデザイン(1)                          ○    2   2                            UL-119   0     10   40   10   40   木村篤信,pdf_curriculum_table,,source_key=urban_life
UL-113,都市計画(1),2,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,都市計画(1)                              ○    2   2                            UL-113   0     20    0   0    80   柏原沙織,pdf_curriculum_table,,source_key=urban_life
UL-117,世界の都市,2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,世界の都市                                △    2       2                        UL-117   0     30   30   0    40   坂井文 他,pdf_curriculum_table,,source_key=urban_life
UL-115,世界の住まい,2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,世界の住まい                               △    2   2                            UL-115   0     30   30   0    40   三井所清史,pdf_curriculum_table,,source_key=urban_life
UL-116,Urban Cultural Studies,2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,基   Urban Cultural Studies               △    2              2                 UL-116   0     30   30   0    40   リーラ・ドリアンダ,pdf_curriculum_table,,source_key=urban_life
UL-11B,都市の社会学,2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,共   都市の社会学                               △    2       2                        UL-11B   0     30    0   30   40   坂倉杏介,pdf_curriculum_table,,source_key=urban_life
UL-114,都市の経済学,2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,通   都市の経済学                               △    2       2                        UL-114   0     20   20   0    60   岡澤由季,pdf_curriculum_table,,source_key=urban_life
UL-11C,プロジェクトマネジメント,2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,目   プロジェクトマネジメント                         △    2                      2         UL-11C   0     20   20   0    60   太田明,pdf_curriculum_table,,source_key=urban_life
UL-118,民法と商法,2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,民法と商法                                △    2   2                            UL-118   0     20   20   0    60   市川貴子,pdf_curriculum_table,,source_key=urban_life
UL-11A,統計と分析,2,※MS △,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,統計と分析                             ※MS △   2                      2         UL-11A   0     40    0   0    60   林和眞,pdf_curriculum_table,,source_key=urban_life
UL-121,グラフィックデザイン演習,2,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,グラフィックデザイン演習                         ○    2   2                            UL-121   20    0    50   0    30   諫川輝之 他,pdf_curriculum_table,,source_key=urban_life
UL-122,まちの観察,2,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,専       まちの観察                                ○    2              2                 UL-122   20    20   20   20   20   末繁雄一,pdf_curriculum_table,,source_key=urban_life
UL-123,Facilitation & Communication(1),2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,基       Facilitation & Communication(1)      △    2                      2         UL-123   20    30    0   50   0    北見幸一 他,pdf_curriculum_table,,source_key=urban_life
UL-124,Facilitation & Communication(2),2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,礎       Facilitation & Communication(2)      △    2                      2         UL-124   20    30    0   50   0    リーラ・ドリアンダ他,pdf_curriculum_table,,source_key=urban_life
UL-125,空間デザイン演習(1),3,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,目       空間デザイン演習(1)                          ○    3   4                            UL-125   20    10   50   0    20   中島伸 他,pdf_curriculum_table,,source_key=urban_life
UL-126,空間デザイン演習(2),2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,演   空間デザイン演習(2)                          △    2       2                        UL-126   20    10   50   0    20   中島伸 他,pdf_curriculum_table,,source_key=urban_life
UL-127,空間デザイン演習(3),2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,空間デザイン演習(3)                          △    2       2                        UL-127   20    10   50   0    20   中島伸 他,pdf_curriculum_table,,source_key=urban_life
UL-128,都市デジタルシミュレーション(1),2,○,専門分野,都市生活学科科目,required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,域   都市デジタルシミュレーション(1)                    ○    2       2                        UL-128   30    0    50   0    20   末繁雄一 他,pdf_curriculum_table,,source_key=urban_life
UL-129,都市デジタルシミュレーション(2),2,△,専門分野,都市生活学科科目,elective-required,curriculum,9a97b84ce1f096e0db084e81dac0bf1f.pdf,都市デジタルシミュレーション(2)                    △    2                  2             UL-129   30    0    50   0    20   斉藤圭 他,pdf_curriculum_table,,source_key=urban_life
