departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,lectureCode,teacher,room,target,remarks,sourcePage,sourceFile,normalizedTitle
kikai,機械,世田谷,月,1,前期後,1,,機械工作概論,sab111111,亀山 雄高,61A,対象[26-17],"対開講(月1,木1)",1,2026世田谷キャンパス前期.pdf,機械工作概論
kikai,機械,世田谷,月,2,前期前,3,,内燃機関,saa111204,三原 雄司,1BN,対象[24-17],"対開講(月2,木2)",1,2026世田谷キャンパス前期.pdf,内燃機関
kikai,機械,世田谷,月,3,前期前,2,CD,電気・計測回路,saa111310,冨士原 民雄,13C,対象[20-17],"対開講(月3,金3)",1,2026世田谷キャンパス前期.pdf,電気・計測回路
kikai,機械,世田谷,月,4,前期前,3,CD,材料加工学,saa111405,亀山 雄高 小玉 脩平,61A,対象[24-21],"対開講(月4,木4)",1,2026世田谷キャンパス前期.pdf,材料加工学
kikai,機械,世田谷,月,4,前期後,2,CD,材料力学(2),sab111402,小林 志好,11A,対象[20-17],"対開講(月4,木4)",1,2026世田谷キャンパス前期.pdf,材料力学(2)
kikai,機械,世田谷,月,4,前期後,3,CD,制御工学(1),sab111404,杉町 敏之,61A,対象[24-17],"対開講(月4,木4)",1,2026世田谷キャンパス前期.pdf,制御工学(1)
kikai,機械,世田谷,月,4,前期後,3,CD,材料加工学(2),sab111403,佐藤 秀明,1BG,対象[20-17],"対開講(月4,木4)",1,2026世田谷キャンパス前期.pdf,材料加工学(2)
kikai,機械,世田谷,月,5,前期前,1,CD,再・SD PBL(1),saa111501,小林 志好,12H,対象[25-20],"対開講(月5,木5)",1,2026世田谷キャンパス前期.pdf,SDPBL(1)
kikai,機械,世田谷,火,1,前期,1,CD,知的財産,saz112141,伊藤 剣太,"71B(1Q),61C",対象[26-17] (2Q),,1,2026世田谷キャンパス前期.pdf,知的財産
kikai,機械,世田谷,火,1,前期前,1,III-A,Reading and,saa112101,日高 正司,12J,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-B,Reading and Writing(1a),saa112102,ヴァーラ内田 エイ ドリアン ミッシェ,12G,対象[26-26],,1,2026世田谷キャンパス前期.pdf,ReadingandWriting(1a)
kikai,機械,世田谷,火,1,前期前,1,III-C,Reading and,saa112103,秋間 聖代,12C,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-D,Reading and,saa112104,水戸 俊介,12D,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-E,Reading and,saa112105,鴨下 恵子,12B,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-F,Reading and,saa112106,古谷 裕美,12E,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-G,Reading and,saa112107,松本 淳子,12F,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-H,Reading and,saa112108,鷹取 勇希,13K,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-I,Reading and,saa112109,染谷 昌弘,11C,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期前,1,III-J,Reading and,saa112110,小林 美文,12H,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-A,Reading and,sab112111,日高 正司,12J,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-B,Reading and Writing(1b),sab112112,ヴァーラ内田 エイ ドリアン ミッシェ,12G,対象[26-26],,1,2026世田谷キャンパス前期.pdf,ReadingandWriting(1b)
kikai,機械,世田谷,火,1,前期後,1,III-C,Reading and,sab112113,秋間 聖代,12C,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-D,Reading and,sab112114,水戸 俊介,12D,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-E,Reading and,sab112115,鴨下 恵子,12B,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-F,Reading and,sab112116,古谷 裕美,12E,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-G,Reading and,sab112117,松本 淳子,12F,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-H,Reading and,sab112118,鷹取 勇希,13K,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-I,Reading and,sab112119,染谷 昌弘,11C,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,1,III-J,Reading and,sab112120,小林 美文,12H,対象[26-26],,1,2026世田谷キャンパス前期.pdf,Readingand
kikai,機械,世田谷,火,1,前期後,3,III-J,流体力学,sab112146,冨士原 民雄,12A,対象[24-17],"対開講(火1,金1)",1,2026世田谷キャンパス前期.pdf,流体力学
kikai,機械,世田谷,火,2,前期,1,III-J,知的財産,saz112205,伊藤 剣太,"71B(1Q),61C",対象[26-17] (2Q),,1,2026世田谷キャンパス前期.pdf,知的財産
kikai,機械,世田谷,火,3,前期,2,III-J,SD PBL(2),saz112310,小林 志好,61A,対象[25-21],,1,2026世田谷キャンパス前期.pdf,SDPBL(2)
kikai,機械,世田谷,火,5,前期前,2,CD,材料工学,saa112505,藤間 卓也,12M,対象[20-17],"対開講(火5,金5)",1,2026世田谷キャンパス前期.pdf,材料工学
kikai,機械,世田谷,水,1,前期後,3,CD,材料強度学,sab113103,白木 尚人,12B,対象[24-17],"対開講(水1,水2)",1,2026世田谷キャンパス前期.pdf,材料強度学
kikai,機械,世田谷,水,2,前期後,3,CD,材料強度学,sab113103,白木 尚人,12B,対象[24-17],"対開講(水1,水2)",1,2026世田谷キャンパス前期.pdf,材料強度学
kikai,機械,世田谷,水,3,前期,3,CD,機械工学実験(2),saz113301,三原 雄司 藤間 卓也 亀山 雄高 岸本 喜直,各研究室,対象[20-17],"対開講(水3,水4)",2,2026世田谷キャンパス前期.pdf,機械工学実験(2)
kikai,機械,世田谷,水,4,前期,3,CD,機械工学実験(2),saz113301,三原 雄司 藤間 卓也 亀山 雄高 岸本 喜直,各研究室,対象[20-17],"対開講(水3,水4)",2,2026世田谷キャンパス前期.pdf,機械工学実験(2)
kikai,機械,世田谷,木,1,前期後,1,CD,機械工作概論,sab111111,亀山 雄高,61A,対象[26-17],"対開講(月1,木1)",2,2026世田谷キャンパス前期.pdf,機械工作概論
kikai,機械,世田谷,木,1,前期後,2,CD,機械力学(1),sab114101,櫻井 俊彰,1BF,対象[20-17],"対開講(木1,木2) ○",2,2026世田谷キャンパス前期.pdf,機械力学(1)
kikai,機械,世田谷,木,2,前期,1,SD,PBL(1),saz114201,小林 志好,"61C(1Q),61A",対象[26-26] (2Q),,2,2026世田谷キャンパス前期.pdf,PBL(1)
kikai,機械,世田谷,木,2,前期前,3,SD,内燃機関,saa111204,三原 雄司,1BN,対象[24-17],"対開講(月2,木2)",2,2026世田谷キャンパス前期.pdf,内燃機関
kikai,機械,世田谷,木,2,前期後,2,SD,機械力学(1),sab114101,櫻井 俊彰,1BF,対象[20-17],"対開講(木1,木2)",2,2026世田谷キャンパス前期.pdf,機械力学(1)
kikai,機械,世田谷,木,4,前期前,3,CD,材料加工学,saa111405,亀山 雄高 小玉 脩平,61A,対象[24-21],"対開講(月4,木4)",2,2026世田谷キャンパス前期.pdf,材料加工学
